time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-03-17T12:05:25.551Z,-9.2641,109.6526,46.72,5,mww,56,134,2.334,1.86,us,us7000jktt,2023-03-18T09:14:30.094Z,"160 km SSW of Srandakan, Indonesia",earthquake,7.5,7.9,0.08,15,reviewed,us,us
2023-03-17T10:47:51.296Z,-6.1026,147.4907,62.09,4.9,mb,69,44,3.297,0.7,us,us7000jktc,2023-03-17T11:08:35.040Z,"63 km NW of Finschhafen, Papua New Guinea",earthquake,8.58,6.515,0.069,66,reviewed,us,us
2023-03-17T10:39:39.732Z,30.7834,96.0546,10,5.1,mb,78,38,9.866,0.71,us,us7000jktb,2023-03-17T10:59:27.040Z,"Eastern Xizang",earthquake,6.41,1.912,0.05,131,reviewed,us,us
2023-03-17T03:38:28.042Z,4.941,125.4914,178.641,4.5,mb,16,116,2.117,1.19,us,us7000jkql,2023-03-17T04:19:44.040Z,"Pulau-Pulau Sangihe, Indonesia",earthquake,10.68,9.594,0.191,8,reviewed,us,us
2023-03-17T01:59:45.026Z,38.5468,73.1539,10,4.5,mb,21,197,1.406,0.57,us,us7000jkph,2023-03-17T02:54:23.040Z,"82 km WNW of Murghob, Tajikistan",earthquake,5.64,1.965,0.135,16,reviewed,us,us
2023-03-16T18:32:51.688Z,35.2373,46.0014,10,5.1,mb,92,32,0.62,1.23,us,us7000jkjc,2023-03-17T20:44:43.648Z,"6 km NNE of ?alabja, Iraq",earthquake,7.31,1.861,0.041,191,reviewed,us,us
2023-03-16T17:54:58.141Z,1.7939,126.3028,44.562,4.6,mb,83,106,1.47,0.83,us,us7000jkip,2023-03-17T13:43:03.040Z,"151 km ENE of Laikit, Laikit II (Dimembe), Indonesia",earthquake,7.11,7.156,0.066,69,reviewed,us,us
2023-03-16T17:27:43.157Z,-23.7448,-179.5309,552.731,4.8,mb,26,107,4.753,0.51,us,us7000jkil,2023-03-16T21:37:46.040Z,"south of the Fiji Islands",earthquake,11.16,12.674,0.135,17,reviewed,us,us
2023-03-16T17:03:07.120Z,11.3587,138.7494,10,5,mb,68,69,6.374,1.06,us,us7000jkgi,2023-03-17T10:27:29.040Z,"215 km NNE of Colonia, Micronesia",earthquake,10.02,1.881,0.065,76,reviewed,us,us
2023-03-16T14:59:10.469Z,56.095,-116.6227,10,5,mb,182,40,1.765,1.03,us,us7000jkfd,2023-03-19T18:58:11.824Z,"44 km ESE of Peace River, Canada",earthquake,5.9,1.857,0.027,450,reviewed,us,us
2023-03-16T14:46:18.749Z,56.1128,-116.6129,9.809,4.8,mb,72,41,1.784,0.7,us,us7000jkf9,2023-03-16T19:40:20.157Z,"44 km ESE of Peace River, Canada",earthquake,5.89,4.347,0.029,366,reviewed,us,us
2023-03-16T14:03:58.429Z,5.3547,-77.565,25.14,4.6,mb,36,114,2.19,0.79,us,us7000jkf1,2023-03-16T15:29:22.040Z,"49 km NNW of Pizarro, Colombia",earthquake,4.67,5.437,0.065,70,reviewed,us,us
2023-03-16T12:53:07.216Z,-30.4739,-176.6693,22.014,4.7,mb,31,69,1.625,0.76,us,us7000jkeu,2023-03-16T13:41:53.040Z,"Kermadec Islands region",earthquake,8.77,3.301,0.138,16,reviewed,us,us
2023-03-16T11:47:15.128Z,38.4857,45.0727,10,5.2,mww,88,33,1.128,0.99,us,us7000jkel,2023-03-17T02:02:47.044Z,"Northwestern Iran",earthquake,5.32,1.846,0.063,24,reviewed,us,us
2023-03-16T10:55:07.953Z,40.7392,31.5128,10,4.8,mww,72,34,0.359,1.16,us,us7000jkeb,2023-03-17T08:59:30.040Z,"7 km W of Bolu, Turkey",earthquake,1.73,1.834,0.098,10,reviewed,us,us
2023-03-16T08:12:20.618Z,-18.7966,168.3046,35,4.6,mb,18,117,3.493,0.61,us,us7000jkdv,2023-03-16T08:59:44.040Z,"117 km S of Port-Vila, Vanuatu",earthquake,7.62,1.96,0.151,14,reviewed,us,us
2023-03-16T07:06:21.438Z,-15.803,-172.614,10,4.8,mb,25,78,2.513,0.8,us,us7000jkdn,2023-03-16T08:45:08.040Z,"127 km E of Hihifo, Tonga",earthquake,8.79,1.884,0.069,65,reviewed,us,us
2023-03-16T05:22:41.093Z,-10.6,113.3077,10,5.2,mww,75,45,2.274,0.88,us,us7000jkcu,2023-03-16T05:40:52.040Z,"256 km S of Kencong, Indonesia",earthquake,7.38,1.839,0.093,11,reviewed,us,us
